INFO:__main__:Loading input file: data/processed/test_input_281_sites.csv
INFO:__main__:Starting parallel processing with 25 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/test_input_281_sites.csv
Output file:       data/processed/test_results_quick.csv
Total URLs:        281
Mode:              quick
Workers:           25

Configuration:
  Check static:    True
  Extract emails:  False
  Extract phones:  False
  Scrape mode:     single
  AI analysis:     False

Estimated time:    0.2 min (14.1 sec)
================================================================================

[143/281] 50.9% | ETA: 43s | Speed: 3.2 items/sec | https://airtron.com/houston/?utm_source=gmb&utm_me - dynamic
[144/281] 51.2% | ETA: 42s | Speed: 3.3 items/sec | https://www.callmrreliable.com/?utm_source=GBP&utm - http_error_403
[145/281] 51.6% | ETA: 42s | Speed: 3.3 items/sec | https://therightchoicetexas.com/                   - success
[146/281] 52.0% | ETA: 41s | Speed: 3.3 items/sec | http://www.davelaneair.com/                        - success
[147/281] 52.3% | ETA: 41s | Speed: 3.3 items/sec | http://masteracandheat.com/                        - success
[148/281] 52.7% | ETA: 40s | Speed: 3.3 items/sec | https://www.houseproac.com/?utm_source=GBP&utm_med - success
[149/281] 53.0% | ETA: 40s | Speed: 3.3 items/sec | https://championandnash.com/aircon                 - dynamic
[150/281] 53.4% | ETA: 40s | Speed: 3.3 items/sec | http://www.excelairconditioning.com/               - success
[151/281] 53.7% | ETA: 40s | Speed: 3.3 items/sec | https://www.bigtexascomfort.com/?utm_campaign=gmb  - success
[152/281] 54.1% | ETA: 39s | Speed: 3.3 items/sec | https://www.houstonsmartair.com/                   - success
[153/281] 54.4% | ETA: 39s | Speed: 3.3 items/sec | https://texasstrongmechanical.com/hvac-services/hv - dynamic
[154/281] 54.8% | ETA: 38s | Speed: 3.3 items/sec | https://www.bellaireair.com/?utm_source=google&utm - success
[155/281] 55.2% | ETA: 38s | Speed: 3.3 items/sec | https://www.missionac.com/locations/houston-tx/?ut - success
[156/281] 55.5% | ETA: 38s | Speed: 3.3 items/sec | https://vibrantmechanical.com/                     - dynamic
[157/281] 55.9% | ETA: 37s | Speed: 3.3 items/sec | https://acrescue.net/                              - success
[158/281] 56.2% | ETA: 37s | Speed: 3.3 items/sec | https://codyandsons.com/?utm_source=google&utm_med - success
[159/281] 56.6% | ETA: 37s | Speed: 3.3 items/sec | https://alphahvac.site/                            - success
